3.005000000000000;A1;C03;    · Average delay = 0.0055 s
3.005000000000000;A1;C03;    · Maximum delay = 0.0573 s
3.005000000000000;A1;C03;    · Minimum delay = 0.0000 s
3.005000000000000;A1;C03;    · Associated reward = 0.301402
3.005000000000000;A1;F00; ComputeNewConfiguration()
3.005000000000000;A1;F00; SendNewConfigurationToAp()
3.005000000000000;A1;C03;  - Action (0):
3.005000000000000;A1;C03;    · channel = 0
3.005000000000000;A1;C03;    · cca = -82.000000 dBm
3.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
3.005000000000000;A1;C03;    · max_bandwidth = 1
3.005000000000000;A1;C00;  - Next request to be sent at 3.505000
3.505000000000000;A1;F00; RequestInformationToAp() (request #6)
3.505000000000000;A1;F00; InportReceivingInformationFromAp()
3.505000000000000;A1;C03;  - Action (0):
3.505000000000000;A1;C03;    · channel = 0
3.505000000000000;A1;C03;    · cca = -82.000000 dBm
3.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
3.505000000000000;A1;C03;    · max_bandwidth = 1
3.505000000000000;A1;C03;  - Performance:
3.505000000000000;A1;C03;    · Average throughput = 15.50 Mbps
3.505000000000000;A1;C03;    · Average delay = 0.0080 s
3.505000000000000;A1;C03;    · Maximum delay = 0.0231 s
3.505000000000000;A1;C03;    · Minimum delay = 0.0000 s
3.505000000000000;A1;C03;    · Associated reward = 0.353368
3.505000000000000;A1;F00; ComputeNewConfiguration()
3.505000000000000;A1;F00; SendNewConfigurationToAp()
3.505000000000000;A1;C03;  - Action (1):
3.505000000000000;A1;C03;    · channel = 1
3.505000000000000;A1;C03;    · cca = -82.000000 dBm
3.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
3.505000000000000;A1;C03;    · max_bandwidth = 1
3.505000000000000;A1;C00;  - Next request to be sent at 4.005000
4.005000000000000;A1;F00; RequestInformationToAp() (request #7)
4.005000000000000;A1;F00; InportReceivingInformationFromAp()
4.005000000000000;A1;C03;  - Action (1):
4.005000000000000;A1;C03;    · channel = 1
4.005000000000000;A1;C03;    · cca = -82.000000 dBm
4.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
4.005000000000000;A1;C03;    · max_bandwidth = 1
4.005000000000000;A1;C03;  - Performance:
4.005000000000000;A1;C03;    · Average throughput = 10.94 Mbps
4.005000000000000;A1;C03;    · Average delay = 0.0094 s
4.005000000000000;A1;C03;    · Maximum delay = 0.0345 s
4.005000000000000;A1;C03;    · Minimum delay = 0.0000 s
4.005000000000000;A1;C03;    · Associated reward = 0.249436
4.005000000000000;A1;F00; ComputeNewConfiguration()
4.005000000000000;A1;F00; SendNewConfigurationToAp()
4.005000000000000;A1;C03;  - Action (0):
4.005000000000000;A1;C03;    · channel = 0
4.005000000000000;A1;C03;    · cca = -82.000000 dBm
4.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
4.005000000000000;A1;C03;    · max_bandwidth = 1
4.005000000000000;A1;C00;  - Next request to be sent at 4.505000
4.505000000000000;A1;F00; RequestInformationToAp() (request #8)
4.505000000000000;A1;F00; InportReceivingInformationFromAp()
4.505000000000000;A1;C03;  - Action (0):
4.505000000000000;A1;C03;    · channel = 0
4.505000000000000;A1;C03;    · cca = -82.000000 dBm
4.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
4.505000000000000;A1;C03;    · max_bandwidth = 1
4.505000000000000;A1;C03;  - Performance:
4.505000000000000;A1;C03;    · Average throughput = 16.42 Mbps
4.505000000000000;A1;C03;    · Average delay = 0.0071 s
4.505000000000000;A1;C03;    · Maximum delay = 0.0288 s
4.505000000000000;A1;C03;    · Minimum delay = 0.0000 s
4.505000000000000;A1;C03;    · Associated reward = 0.374154
4.505000000000000;A1;F00; ComputeNewConfiguration()
4.505000000000000;A1;F00; SendNewConfigurationToAp()
4.505000000000000;A1;C03;  - Action (1):
4.505000000000000;A1;C03;    · channel = 1
4.505000000000000;A1;C03;    · cca = -82.000000 dBm
4.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
4.505000000000000;A1;C03;    · max_bandwidth = 1
4.505000000000000;A1;C00;  - Next request to be sent at 5.005000
5.005000000000000;A1;F00; RequestInformationToAp() (request #9)
5.005000000000000;A1;F00; InportReceivingInformationFromAp()
5.005000000000000;A1;C03;  - Action (1):
5.005000000000000;A1;C03;    · channel = 1
5.005000000000000;A1;C03;    · cca = -82.000000 dBm
5.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
5.005000000000000;A1;C03;    · max_bandwidth = 1
5.005000000000000;A1;C03;  - Performance:
5.005000000000000;A1;C03;    · Average throughput = 13.22 Mbps
5.005000000000000;A1;C03;    · Average delay = 0.0052 s
5.005000000000000;A1;C03;    · Maximum delay = 0.0345 s
5.005000000000000;A1;C03;    · Minimum delay = 0.0000 s
5.005000000000000;A1;C03;    · Associated reward = 0.301402
5.005000000000000;A1;F00; ComputeNewConfiguration()
5.005000000000000;A1;F00; SendNewConfigurationToAp()
5.005000000000000;A1;C03;  - Action (0):
5.005000000000000;A1;C03;    · channel = 0
5.005000000000000;A1;C03;    · cca = -82.000000 dBm
5.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
5.005000000000000;A1;C03;    · max_bandwidth = 1
5.005000000000000;A1;C00;  - Next request to be sent at 5.505000
5.505000000000000;A1;F00; RequestInformationToAp() (request #10)
5.505000000000000;A1;F00; InportReceivingInformationFromAp()
5.505000000000000;A1;C03;  - Action (0):
5.505000000000000;A1;C03;    · channel = 0
5.505000000000000;A1;C03;    · cca = -82.000000 dBm
5.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
5.505000000000000;A1;C03;    · max_bandwidth = 1
5.505000000000000;A1;C03;  - Performance:
